City,Latitude (decimal degrees),Longitude (decimal degrees),Latitude (degree),Latitude (minutes),Longitude (degree),Longitude (minutes)
Millinocket AP,45.65,-68.7,45,39,-68,42
Portland (S),43.65,-70.31666667,43,39,-70,19
Waterville,44.53333333,-69.66666667,44,32,-69,40
Baltimore AP,39.18333333,-76.66666667,39,11,-76,40
Baltimore Co,39.33333333,-76.41666667,39,20,-76,25
Cumberland,39.61666667,-78.76666667,39,37,-78,46
Frederick AP,39.45,-77.41666667,39,27,-77,25
Hagerstown,39.7,-77.73333333,39,42,-77,44
Salisbury (S),38.33333333,-75.5,38,20,-75,30
Boston AP,42.36666667,-71.03333333,42,22,-71,2
Clinton,42.4,-71.68333333,42,24,-71,41
Fall River,41.71666667,-71.13333333,41,43,-71,8
Framingham,42.28333333,-71.41666667,42,17,-71,25
Gloucester,42.58333333,-70.68333333,42,35,-70,41
Greenfield,42.05,-72.06666667,42,3,-72,4
Lawrence,42.7,-71.16666667,42,42,-71,10
Lowell,42.65,-71.31666667,42,39,-71,19
New Bedford,41.68333333,-70.96666667,41,41,-70,58
Pittsfield AP,42.43333333,-73.3,42,26,-73,18
"Springfield, Westover AFB",42.2,-72.53333333,42,12,-72,32
Taunton,41.9,-71.06666667,41,54,-71,4
Worcester AP,42.26666667,-71.86666667,42,16,-71,52
Adrian,41.91666667,-84.01666667,41,55,-84,1
Alpena AP,45.06666667,-83.43333333,45,4,-83,26
Battle Creek AP,42.31666667,-85.25,42,19,-85,15
Benton Harbor AP,42.13333333,-86.43333333,42,8,-86,26
Detroit,42.41666667,-83.01666667,42,25,-83,1
Escanaba,45.73333333,-87.08333333,45,44,-87,5
Flint AP,42.96666667,-83.73333333,42,58,-83,44
Grand Rapids AP,42.88333333,-85.51666667,42,53,-85,31
Holland,42.7,-86.1,42,42,-86,6
Jackson AP,42.26666667,-84.46666667,42,16,-84,28
Kalamazoo,42.28333333,-85.6,42,17,-85,36
Lansing AP,42.78333333,-84.6,42,47,-84,36
Marquette Co,46.56666667,-87.4,46,34,-87,24
Mt Pleasant,43.58333333,-84.76666667,43,35,-84,46
Muskegon AP,43.16666667,-86.23333333,43,10,-86,14
Pontiac,42.66666667,-83.41666667,42,40,-83,25
Port Huron,42.98333333,-82.41666667,42,59,-82,25
Saginaw AP,43.53333333,-84.08333333,43,32,-84,5
Sault Ste. Marie AP (S),46.46666667,-84.36666667,46,28,-84,22
Traverse City AP,44.75,-85.58333333,44,45,-85,35
Ypsilanti,42.23333333,-83.53333333,42,14,-83,32
Albert Lea,43.65,-93.35,43,39,-93,21
Alexandria AP,45.86666667,-95.38333333,45,52,-95,23
Bemidji AP,47.51666667,-94.93333333,47,31,-94,56
Brainerd,46.4,-94.13333333,46,24,-94,8
Duluth AP,46.83333333,-92.18333333,46,50,-92,11
Fairbault,44.3,-93.26666667,44,18,-93,16
Fergus Falls,46.26666667,-96.06666667,46,16,-96,4
International Falls AP,48.56666667,-93.38333333,48,34,-93,23
Mankato,44.15,-93.98333333,44,9,-93,59
Minneapolis/St. Paul AP,44.88333333,-93.21666667,44,53,-93,13
Rochester AP,43.91666667,-92.5,43,55,-92,30
St. Cloud AP (S),45.58333333,-94.18333333,45,35,-94,11
Virginia,47.5,-92.55,47,30,-92,33
Willmar,45.11666667,-95.08333333,45,7,-95,5
Winona,44.05,-91.63333333,44,3,-91,38
Biloxi--Keesler AFB,30.41666667,-88.91666667,30,25,-88,55
Clarksdale,34.2,-90.56666667,34,12,-90,34
Columbus AFB,33.65,-88.45,33,39,-88,27
Greenville AFB,33.48333333,-90.98333333,33,29,-90,59
Greenwood,33.5,-90.08333333,33,30,-90,5
Hattiesburg,31.26666667,-89.25,31,16,-89,15
Jackson AP,32.31666667,-90.08333333,32,19,-90,5
Laurel,31.66666667,-89.16666667,31,40,-89,10
Mccomb AP,31.25,-90.46666667,31,15,-90,28
Meridian AP,32.33333333,-88.75,32,20,-88,45
Natchez,31.55,-91.38333333,31,33,-91,23
Tupelo,34.26666667,-88.76666667,34,16,-88,46
Vicksburg Co,32.4,-90.78333333,32,24,-90,47
Cape Girardeau,37.23333333,-89.58333333,37,14,-89,35
Columbia AP (S),38.96666667,-92.36666667,38,58,-92,22
Farmington AP,37.76666667,-90.4,37,46,-90,24
Hannibal,39.7,-91.35,39,42,-91,21
Jefferson City,38.56666667,-92.18333333,38,34,-92,11
Joplin AP,37.15,-94.5,37,9,-94,30
Kansas City AP,39.11666667,-94.58333333,39,7,-94,35
Kirksville AP,40.1,-92.55,40,6,-92,33
Mexico,39.18333333,-91.9,39,11,-91,54
Moberly,39.4,-92.43333333,39,24,-92,26
Poplar Bluff,36.76666667,-90.41666667,36,46,-90,25
Rolla,37.98333333,-91.71666667,37,59,-91,43
St. Joseph AP,39.76666667,-94.91666667,39,46,-94,55
St. Louis AP,38.75,-90.38333333,38,45,-90,23
St. Louis CO,38.65,-90.63333333,38,39,-90,38
Sikeston,36.88333333,-89.6,36,53,-89,36
Sedalia--Whiteman AFB,38.71666667,-93.55,38,43,-93,33
Sikeston,36.88333333,-89.6,36,53,-89,36
Springfield AP,37.23333333,-93.38333333,37,14,-93,23
Billings AP,45.8,-108.5333333,45,48,-108,32
Bozeman,45.78333333,-111.15,45,47,-111,9
Butte AP,45.95,-112.5,45,57,-112,30
Cut Bank AP,48.61666667,-112.3666667,48,37,-112,22
Glasgow AP (S),48.41666667,-106.5333333,48,25,-106,32
Glendive,47.13333333,-104.8,47,8,-104,48
Great Falls AP (S),47.48333333,-111.3666667,47,29,-111,22
Havre,48.56666667,-109.6666667,48,34,-109,40
Helena AP,46.6,-112,46,36,-112,0
Kalispell AP,48.3,-114.2666667,48,18,-114,16
Lewiston AP,47.06666667,-109.45,47,4,-109,27
Livingstown AP,45.7,-110.4333333,45,42,-110,26
Miles City AP,46.43333333,-105.8666667,46,26,-105,52
Missoula AP,46.91666667,-114.0833333,46,55,-114,5
Beatrice,40.26666667,-96.75,40,16,-96,45
Chadron AP,42.83333333,-103.0833333,42,50,-103,5
Columbus,41.46666667,-97.33333333,41,28,-97,20
Fremont,41.43333333,-96.48333333,41,26,-96,29
Grand Island AP,40.98333333,-98.31666667,40,59,-98,19
Hastings,40.6,-98.43333333,40,36,-98,26
Kearney,40.73333333,-99.01666667,40,44,-99,1
Lincoln Co (S),40.85,-96.75,40,51,-96,45
McCook,40.2,-100.6333333,40,12,-100,38
Norfolk,41.98333333,-97.43333333,41,59,-97,26
North Platte AP (S),41.13333333,-100.6833333,41,8,-100,41
Omaha AP,41.3,-95.9,41,18,-95,54
Scottsbluff AP,41.86666667,-103.6,41,52,-103,36
Sidney AP,41.21666667,-103.1,41,13,-103,6
Carson City,39.16666667,-119.7666667,39,10,-119,46
Elko AP,40.83333333,-115.7833333,40,50,-115,47
Ely AP (S),39.28333333,-114.85,39,17,-114,51
Las Vegas AP (S),36.08333333,-115.1666667,36,5,-115,10
Lovelock AP,40.06666667,-118.55,40,4,-118,33
Reno AP (S),39.5,-119.7833333,39,30,-119,47
Reno Co,39.5,-119.7833333,39,30,-119,47
Tonopah AP,38.06666667,-117.0833333,38,4,-117,5
Winnemucca AP,40.9,-117.8,40,54,-117,48
Berlin,44.05,-71.01666667,44,3,-71,1
Claremont,43.03333333,-72.03333333,43,2,-72,2
Concord AP,43.2,-71.5,43,12,-71,30
Keene,42.91666667,-72.28333333,42,55,-72,17
Laconia,43.05,-71.05,43,3,-71,3
"Manchester, Grenier AFB",42.93333333,-71.43333333,42,56,-71,26
"Portsmouth, Pease AFB",43.06666667,-70.81666667,43,4,-70,49
Atlantic City CO,39.38333333,-74.43333333,39,23,-74,26
Long Branch,40.31666667,-74.01666667,40,19,-74,1
Newark AP,40.7,-74.16666667,40,42,-74,10
New Brunswick,40.48333333,-74.43333333,40,29,-74,26
Paterson,40.9,-74.15,40,54,-74,9
Phillipsburg,40.68333333,-75.18333333,40,41,-75,11
Trenton Co,40.21666667,-74.76666667,40,13,-74,46
Vineland,39.48333333,-75,39,29,-75,0
Alamagordo°,32.9,-105.95,32,54,-105,57
Holloman AFB,32.85,-106.1,32,51,-106,6
Albuquerque AP (S),35.05,-106.6166667,35,3,-106,37
Artesia,32.76666667,-104.3833333,32,46,-104,23
Carlsbad AP,32.33333333,-104.2666667,32,20,-104,16
Clovis AP,34.38333333,-103.3166667,34,23,-103,19
Farmington AP,36.73333333,-108.2333333,36,44,-108,14
Gallup,35.51666667,-108.7833333,35,31,-108,47
Grants,35.16666667,-107.9,35,10,-107,54
Hobbs AP,32.75,-103.2166667,32,45,-103,13
Las Cruces,32.3,-106.9166667,32,18,-106,55
Los Alamos,35.86666667,-106.3166667,35,52,-106,19
Raton AP,36.75,-104.5,36,45,-104,30
"Roswell, Walker AFB",33.3,-104.5333333,33,18,-104,32
Santa Fe CO,35.61666667,-106.0833333,35,37,-106,5
Silver City AP,32.63333333,-108.1666667,32,38,-108,10
Socorro AP,34.05,-106.8833333,34,3,-106,53
Tucumcari AP,35.18333333,-103.6,35,11,-103,36
Albany AP (S),42.75,-73.8,42,45,-73,48
Albany Co,42.65,-73.75,42,39,-73,45
Auburn,42.9,-76.53333333,42,54,-76,32
Batavia,43,-78.18333333,43,0,-78,11
Binghamton AP,42.21666667,-75.98333333,42,13,-75,59
Buffalo AP,42.93333333,-78.73333333,42,56,-78,44
Cortland,42.6,-76.18333333,42,36,-76,11
Dunkirk,42.48333333,-79.26666667,42,29,-79,16
Elmira AP,42.16666667,-76.9,42,10,-76,54
Geneva (S),42.75,-76.9,42,45,-76,54
Glens Falls,43.33333333,-73.61666667,43,20,-73,37
Gloversville,43.03333333,-74.35,43,2,-74,21
Hornell,42.35,-77.7,42,21,-77,42
Ithaca (S),42.45,-76.48333333,42,27,-76,29
Jamestown,42.11666667,-79.23333333,42,7,-79,14
Kingston,41.93333333,-74,41,56,-74,0
Lockport,43.15,-79.25,43,9,-79,15
Massena AP,44.93333333,-74.85,44,56,-74,51
"Newburgh, Stewart AFB",41.5,-74.1,41,30,-74,6
NYC-Central Park (S),40.78333333,-73.96666667,40,47,-73,58
NYC-Kennedy AP,40.65,-73.78333333,40,39,-73,47
NYC-La Guardia AP,40.76666667,-73.9,40,46,-73,54
Niagara Falls AP,43.1,-79.95,43,6,-79,57
Olean,42.23333333,-78.36666667,42,14,-78,22
Oneonta,42.51666667,-75.06666667,42,31,-75,4
Oswego Co,43.46666667,-76.55,43,28,-76,33
Plattsburg AFB,44.65,-73.46666667,44,39,-73,28
Poughkeepsie,41.63333333,-73.91666667,41,38,-73,55
Rochester AP,43.11666667,-77.66666667,43,7,-77,40
"Rome, Griffiss AFB",43.23333333,-75.41666667,43,14,-75,25
Schenectady (S),42.85,-73.95,42,51,-73,57
Suffolk County AFB,40.85,-72.63333333,40,51,-72,38
Syracuse AP,43.11666667,-76.11666667,43,7,-76,7
Utica,43.15,-75.38333333,43,9,-75,23
Watertown,43.98333333,-76.01666667,43,59,-76,1
Asheville AP,35.43333333,-82.53333333,35,26,-82,32
Charlotte AP,35.21666667,-80.93333333,35,13,-80,56
Durham,35.86666667,-78.78333333,35,52,-78,47
Elizabeth City AP,36.26666667,-76.18333333,36,16,-76,11
"Fayetteville, Pope AFB",35.16666667,-79.01666667,35,10,-79,1
"Goldsboro,Seymour-Johnson",35.33333333,-77.96666667,35,20,-77,58
Greensboro AP (S),36.08333333,-79.95,36,5,-79,57
Greenville,35.61666667,-77.41666667,35,37,-77,25
Henderson,36.36666667,-78.41666667,36,22,-78,25
Hickory,35.75,-81.38333333,35,45,-81,23
Jacksonville,34.83333333,-77.61666667,34,50,-77,37
Lumberton,34.61666667,-79.06666667,34,37,-79,4
New Bern AP,35.08333333,-77.05,35,5,-77,3
Raleigh/Durham AP (S),35.86666667,-78.78333333,35,52,-78,47
Rocky Mount,35.96666667,-77.8,35,58,-77,48
Wilmington AP,34.26666667,-77.91666667,34,16,-77,55
Winston-Salem AP,36.13333333,-80.21666667,36,8,-80,13
Bismarck AP (S),46.76666667,-100.75,46,46,-100,45
Devils Lake,48.11666667,-98.9,48,7,-98,54
Dickinson AP,46.8,-102.8,46,48,-102,48
Fargo AP,46.9,-96.8,46,54,-96,48
Grand Forks AP,47.95,-97.4,47,57,-97,24
Jamestown AP,46.91666667,-98.68333333,46,55,-98,41
Minot AP,48.41666667,-101.35,48,25,-101,21
Williston,48.15,-103.5833333,48,9,-103,35
Akron-Canton AP,40.91666667,-81.43333333,40,55,-81,26
Ashtabula,41.85,-80.8,41,51,-80,48
Athens,39.33333333,-82.1,39,20,-82,6
Bowling Green,41.38333333,-83.63333333,41,23,-83,38
Cambridge,40.06666667,-81.58333333,40,4,-81,35
Chillicothe,39.35,-83,39,21,-83,0
Cincinnati Co,39.15,-84.51666667,39,9,-84,31
Cleveland AP (S),41.4,-81.85,41,24,-81,51
Columbus AP (S),40,-82.88333333,40,0,-82,53
Dayton AP,39.9,-84.21666667,39,54,-84,13
Defiance,41.28333333,-84.38333333,41,17,-84,23
Findlay AP,41.01666667,-83.66666667,41,1,-83,40
Fremont,41.33333333,-83.11666667,41,20,-83,7
Hamilton,39.4,-84.58333333,39,24,-84,35
Lancaster,39.73333333,-82.63333333,39,44,-82,38
Lima,40.7,-84.03333333,40,42,-84,2
Mansfield AP,40.81666667,-82.51666667,40,49,-82,31
Marion,40.6,-83.16666667,40,36,-83,10
Middletown,39.51666667,-84.41666667,39,31,-84,25
Newark,40.01666667,-82.46666667,40,1,-82,28
Norwalk,41.26666667,-82.61666667,41,16,-82,37
Portsmouth,38.75,-82.91666667,38,45,-82,55
Sandusky Co,41.45,-82.71666667,41,27,-82,43
Springfield,39.83333333,-83.83333333,39,50,-83,50
Steubenville,40.38333333,-80.63333333,40,23,-80,38
Toledo AP,41.6,-83.8,41,36,-83,48
Warren,41.33333333,-80.85,41,20,-80,51
Wooster,40.78333333,-81.91666667,40,47,-81,55
Youngstown AP,41.26666667,-80.66666667,41,16,-80,40
Zanesville AP,39.95,-81.9,39,57,-81,54
Ada,34.78333333,-96.68333333,34,47,-96,41
Altus AFB,34.65,-99.26666667,34,39,-99,16
